"Date","Asset","Return"
2013-03-06,"Danske Invest US High Yield Bonds KL",0.00265684
2013-03-06,"Danske Invest Kommuner 4 KL",0.000953198
2013-03-06,"Danske Invest Danm In ex OMXC20 DKK d",0.0163137
2013-03-06,"Danske Inv EuroIG CorpBds Re KL DKKd",0.00245027
2013-03-06,"Danske Invest Gl VO KL DKK W d h",0.0027307
2013-03-06,"Danske Invest Teknologi Indeks KL",0.00335334
2013-03-06,"Danske Invest Euro IG Corp Bd I",0.00193199
2013-03-06,"Wealth Invest HP Engros Korte Danske Obl",0.0009372
2013-03-06,"Gudme Raaschou European High Yield",0.00275677
2013-03-06,"Jyske Invest Højt Ratede Vrk.obl KL",0.00127516
2013-03-06,"Maj Invest Danske Obligationer",0.00131431
2013-03-06,"Nordea Invest Engros Corporate Bonds",0.00170551
2013-03-06,"Nordea Invest Danske Aktier Fokus KL 1",0.0253597
2013-03-06,"Nordea Invest Euro High Yield Bnd KL 1",0.00460714
2013-03-06,"Nordea Invest Korte Obl Lagerbe KL 1",0.00030823
2013-03-06,"Nykredit Alpha Mira",0.00712558
2013-03-06,"Nykredit Invest Engros DK Fokusaktier KL",0.00108375
2013-03-06,"Nykredit Invest Ansvarlige Kreditobl.",0.000516796
2013-03-06,"Wealth Invest HP Invest Korte Danske Obl",0.000937199
2013-03-06,"iShares Gold Producers ETF USD Acc",-0.0167184
2013-03-06,"Nordea Invest Danske Aktier Fokus KL 2",0.0253597
2013-03-06,"Nordea Invest Korte Obli Lagerbe KL 2",0.00030823
2013-03-06,"Nordea Invest Euro High Yield Bonds KL 2",0.00460714
2013-03-13,"BankInvest Korte Danske Obligationer W",0.000437637
2013-03-13,"BankInvest Korte Danske Obligationer A",0.000437637
2013-03-13,"BGF Swiss Small & MidCap Opps D2",-0.00205057
2013-03-13,"BGF World Gold A2 HKD Hedged",0.0293104
2013-03-13,"BGF World Gold A2",0.0294818
2013-03-13,"BGF World Gold X2",0.0297869
2013-03-13,"BGF World Gold D4",0.0314076
2013-03-13,"BGF World Gold I2",0.0296282
2013-03-13,"BGF World Gold D2 SGD Hedged",0.0288231
2013-03-13,"BGF Swiss Small & MidCap Opps A2",-0.00217048
2013-03-13,"BGF World Gold D2",0.0295629
2013-03-13,"BGF World Gold A4",0.0294818
2013-03-13,"BSF European Unconstrained Eq I2 PF EUR",0.010817
2013-03-13,"Danske Invest Alm Bol ML Obl Kl DKK W d",0.000486098
2013-03-13,"Danske Invest Danm In x OMXC20 DKK Wd",0.0348953
2013-03-13,"Danske Inv Euro IG CB Rst DKK Wd",0.00209834
2013-03-13,"Danske Invest Euro IG Obl KL DKK Wdh",0.0026498
2013-03-13,"Danske Invest US High Yield Bonds KL",0.0026498
2013-03-13,"Danske Invest Kommuner 4 KL",0.000285687
2013-03-13,"Danske Invest Danm In ex OMXC20 DKK d",0.0348953
2013-03-13,"Danske Inv EuroIG CorpBds Re KL DKKd",0.00209834
2013-03-13,"Danske Invest Gl VO KL DKK W d h",0.00319279
2013-03-13,"Danske Invest Euro IG Corp Bd I",0.00365398
2013-03-13,"Wealth Invest HP Engros Korte Danske Obl",0.00130259
2013-03-13,"Gudme Raaschou European High Yield",0.00777629
2013-03-13,"Jyske Invest Højt Ratede Vrk.obl KL",0.000818703
2013-03-13,"Maj Invest Danske Obligationer",0.00150009
2013-03-13,"Maj Invest Vækstaktier",0.00317518
2013-03-13,"Nordea Invest Engros Corporate Bonds",0.00141884
2013-03-13,"Nordea Invest Danske Aktier Fokus KL 1",0.0132579
2013-03-13,"Nordea Invest Euro High Yield Bnd KL 1",0.00583674
2013-03-13,"Nordea Invest Korte Obl Lagerbe KL 1",-0.000410846
2013-03-13,"Nykredit Alpha Mira",0.00350513
2013-03-13,"Nykredit Invest Engros DK Fokusaktier KL",0.000878999
2013-03-13,"Nykredit Invest Ansvarlige Kreditobl.",0.000774793
2013-03-13,"Wealth Invest HP Invest Korte Danske Obl",0.00130259
2013-03-13,"iShares Gold Producers ETF USD Acc",-0.00346396
2013-03-13,"Nordea Invest Danske Aktier Fokus KL 2",0.0132579
2013-03-13,"Nordea Invest Korte Obli Lagerbe KL 2",-0.000410846
2013-03-13,"Nordea Invest Euro High Yield Bonds KL 2",0.00583674
2013-03-20,"BankInvest Korte Danske Obligationer W",0.000984252
2013-03-20,"BankInvest Korte Danske Obligationer A",0.000984252
2013-03-20,"BGF Swiss Small & MidCap Opps D2",0.0131482
2013-03-20,"BGF World Gold A2 HKD Hedged",-0.00462451
2013-03-20,"BGF World Gold A2",-0.00484521
2013-03-20,"BGF World Gold X2",-0.00449595
2013-03-20,"BGF World Gold D4",-0.0057348
2013-03-20,"BGF World Gold I2",-0.00471073
2013-03-20,"BGF World Gold D2 SGD Hedged",-0.00772832
2013-03-20,"BGF Swiss Small & MidCap Opps A2",0.0129889
2013-03-20,"BGF World Gold D2",-0.0046257
2013-03-20,"BGF World Gold A4",-0.00484521
2013-03-20,"BSF European Unconstrained Eq I2 PF EUR",-0.00366783
2013-03-20,"Danske Invest Alm Bol ML Obl Kl DKK W d",0.00136041
2013-03-20,"Danske Invest Danm In x OMXC20 DKK Wd",0.011079
2013-03-20,"Danske Inv Euro IG CB Rst DKK Wd",0.00153748
